"Time","Length","Sequence Number","Acknowledgment Number","Info"
"0.008563406","8002","101675","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=101675 Ack=1 Win=65280 Len=7936 TSval=2972591803 TSecr=1160796672"
"0.009808114","3762","109611","1","19  >  57254 [PSH, ACK] Seq=109611 Ack=1 Win=65280 Len=3696 TSval=2972591805 TSecr=1160796673"
"0.009816420","31922","113307","1","19  >  57254 [PSH, ACK] Seq=113307 Ack=1 Win=65280 Len=31856 TSval=2972591805 TSecr=1160796673"
"0.009819426","27578","145163","1","19  >  57254 [PSH, ACK] Seq=145163 Ack=1 Win=65280 Len=27512 TSval=2972591805 TSecr=1160796673"
"0.010066201","4410","172675","1","19  >  57254 [PSH, ACK] Seq=172675 Ack=1 Win=65280 Len=4344 TSval=2972591805 TSecr=1160796673"
"0.010077493","31922","177019","1","19  >  57254 [PSH, ACK] Seq=177019 Ack=1 Win=65280 Len=31856 TSval=2972591805 TSecr=1160796673"
"0.010079246","31922","208875","1","19  >  57254 [PSH, ACK] Seq=208875 Ack=1 Win=65280 Len=31856 TSval=2972591805 TSecr=1160796673"
"0.010080789","31922","240731","1","19  >  57254 [PSH, ACK] Seq=240731 Ack=1 Win=65280 Len=31856 TSval=2972591805 TSecr=1160796673"
"0.010082352","31922","272587","1","19  >  57254 [PSH, ACK] Seq=272587 Ack=1 Win=65280 Len=31856 TSval=2972591805 TSecr=1160796673"
"0.010084446","30474","304443","1","19  >  57254 [PSH, ACK] Seq=304443 Ack=1 Win=65280 Len=30408 TSval=2972591805 TSecr=1160796673"
"0.010340790","1514","334851","1","19  >  57254 [ACK] Seq=334851 Ack=1 Win=65280 Len=1448 TSval=2972591805 TSecr=1160796674"
"0.010349236","31922","336299","1","19  >  57254 [PSH, ACK] Seq=336299 Ack=1 Win=65280 Len=31856 TSval=2972591805 TSecr=1160796674"
"0.011169546","31922","368155","1","19  >  57254 [PSH, ACK] Seq=368155 Ack=1 Win=65280 Len=31856 TSval=2972591806 TSecr=1160796674"
"0.011177421","31922","400011","1","19  >  57254 [PSH, ACK] Seq=400011 Ack=1 Win=65280 Len=31856 TSval=2972591806 TSecr=1160796674"
"0.011179616","3810","431867","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=431867 Ack=1 Win=65280 Len=3744 TSval=2972591806 TSecr=1160796674"
"0.011872290","28178","435611","1","19  >  57254 [PSH, ACK] Seq=435611 Ack=1 Win=65280 Len=28112 TSval=2972591807 TSecr=1160796675"
"0.011880736","2962","463723","1","19  >  57254 [PSH, ACK] Seq=463723 Ack=1 Win=65280 Len=2896 TSval=2972591807 TSecr=1160796675"
"0.017957777","29026","466619","1","19  >  57254 [PSH, ACK] Seq=466619 Ack=1 Win=65280 Len=28960 TSval=2972591813 TSecr=1160796681"
"0.018008124","31922","495579","1","19  >  57254 [PSH, ACK] Seq=495579 Ack=1 Win=65280 Len=31856 TSval=2972591813 TSecr=1160796681"
"0.018017833","24626","527435","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=527435 Ack=1 Win=65280 Len=24560 TSval=2972591813 TSecr=1160796681"
"0.019173995","38338","551995","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=551995 Ack=1 Win=65280 Len=38272 TSval=2972591814 TSecr=1160796682"
"0.019761557","2394","590267","1","19  >  57254 [PSH, ACK] Seq=590267 Ack=1 Win=65280 Len=2328 TSval=2972591815 TSecr=1160796683"
"0.019770033","14546","592595","1","19  >  57254 [PSH, ACK] Seq=592595 Ack=1 Win=65280 Len=14480 TSval=2972591815 TSecr=1160796683"
"0.089206250","50746","607075","1","19  >  57254 [PSH, ACK] Seq=607075 Ack=1 Win=65280 Len=50680 TSval=2972591884 TSecr=1160796752"
"0.089252900","65226","657755","1","19  >  57254 [PSH, ACK] Seq=657755 Ack=1 Win=65280 Len=65160 TSval=2972591884 TSecr=1160796752"
"0.089269321","27714","722915","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=722915 Ack=1 Win=65280 Len=27648 TSval=2972591884 TSecr=1160796752"
"0.098691379","37578","750563","1","19  >  57254 [PSH, ACK] Seq=750563 Ack=1 Win=65280 Len=37512 TSval=2972591893 TSecr=1160796762"
"0.098738439","30474","788075","1","19  >  57254 [PSH, ACK] Seq=788075 Ack=1 Win=65280 Len=30408 TSval=2972591893 TSecr=1160796762"
"0.110248589","32194","818483","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=818483 Ack=1 Win=65280 Len=32128 TSval=2972591905 TSecr=1160796773"
"0.287755335","2690","850611","1","19  >  57254 [PSH, ACK] Seq=850611 Ack=1 Win=65280 Len=2624 TSval=2972592083 TSecr=1160796951"
"0.287798448","65226","853235","1","19  >  57254 [PSH, ACK] Seq=853235 Ack=1 Win=65280 Len=65160 TSval=2972592083 TSecr=1160796951"
"0.287803378","65226","918395","1","19  >  57254 [PSH, ACK] Seq=918395 Ack=1 Win=65280 Len=65160 TSval=2972592083 TSecr=1160796951"
"0.287811643","37714","983555","1","19  >  57254 [PSH, ACK] Seq=983555 Ack=1 Win=65280 Len=37648 TSval=2972592083 TSecr=1160796951"
"0.288263839","2210","1021203","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=1021203 Ack=1 Win=65280 Len=2144 TSval=2972592083 TSecr=1160796951"
"0.289191482","25434","1023347","1","19  >  57254 [PSH, ACK] Seq=1023347 Ack=1 Win=65280 Len=25368 TSval=2972592084 TSecr=1160796952"
"0.289218785","55090","1048715","1","19  >  57254 [PSH, ACK] Seq=1048715 Ack=1 Win=65280 Len=55024 TSval=2972592084 TSecr=1160796952"
"0.289984878","10202","1103739","1","19  >  57254 [PSH, ACK] Seq=1103739 Ack=1 Win=65280 Len=10136 TSval=2972592085 TSecr=1160796953"
"0.289997602","28202","1113875","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=1113875 Ack=1 Win=65280 Len=28136 TSval=2972592085 TSecr=1160796953"
"0.290692591","17858","1142011","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=1142011 Ack=1 Win=65280 Len=17792 TSval=2972592085 TSecr=1160796954"
"0.483176383","19298","1159803","1","19  >  57254 [PSH, ACK] Seq=1159803 Ack=1 Win=65280 Len=19232 TSval=2972592278 TSecr=1160797146[Packet size limited during capture]"
"0.483234705","65226","1179035","1","19  >  57254 [PSH, ACK] Seq=1179035 Ack=1 Win=65280 Len=65160 TSval=2972592278 TSecr=1160797146"
"0.483250105","57986","1244195","1","19  >  57254 [PSH, ACK] Seq=1244195 Ack=1 Win=65280 Len=57920 TSval=2972592278 TSecr=1160797146"
"0.483840171","7306","1302115","1","19  >  57254 [PSH, ACK] Seq=1302115 Ack=1 Win=65280 Len=7240 TSval=2972592279 TSecr=1160797147"
"0.483878845","61818","1309355","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=1309355 Ack=1 Win=65280 Len=61752 TSval=2972592279 TSecr=1160797147"
"0.485032461","3474","1371107","1","19  >  57254 [PSH, ACK] Seq=1371107 Ack=1 Win=65280 Len=3408 TSval=2972592280 TSecr=1160797148"
"0.485172732","27578","1374515","1","19  >  57254 [PSH, ACK] Seq=1374515 Ack=1 Win=65280 Len=27512 TSval=2972592280 TSecr=1160797148"
"0.688492010","37714","1402027","1","19  >  57254 [PSH, ACK] Seq=1402027 Ack=1 Win=65280 Len=37648 TSval=2972592483 TSecr=1160797351"
"0.688611791","65226","1439675","1","19  >  57254 [PSH, ACK] Seq=1439675 Ack=1 Win=65280 Len=65160 TSval=2972592483 TSecr=1160797351"
"0.688624846","53034","1504835","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=1504835 Ack=1 Win=65280 Len=52968 TSval=2972592483 TSecr=1160797351"
"0.701907776","906","1556963","1","[TCP Window Full] [TCP Retransmission] 19  >  57254 [ACK] Seq=1556963 Ack=1 Win=65280 Len=840 TSval=2972592497 TSecr=1160797351"
"0.714343598","12258","1557803","1","19  >  57254 [PSH, ACK] Seq=1557803 Ack=1 Win=65280 Len=12192 TSval=2972592509 TSecr=1160797377"
"0.714407311","62330","1569995","1","19  >  57254 [PSH, ACK] Seq=1569995 Ack=1 Win=65280 Len=62264 TSval=2972592509 TSecr=1160797377"
"0.737824261","1514","1630811","1","[TCP Retransmission] 19  >  57254 [ACK] Seq=1630811 Ack=1 Win=65280 Len=1448 TSval=2972592533 TSecr=1160797377"
"0.745078694","2962","1632259","1","19  >  57254 [PSH, ACK] Seq=1632259 Ack=1 Win=65280 Len=2896 TSval=2972592540 TSecr=1160797408"
"0.745138279","33394","1635155","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=1635155 Ack=1 Win=65280 Len=33328 TSval=2972592540 TSecr=1160797408"
"0.948328897","31898","1668483","1","19  >  57254 [PSH, ACK] Seq=1668483 Ack=1 Win=65280 Len=31832 TSval=2972592743 TSecr=1160797611"
"0.948408932","65226","1700315","1","19  >  57254 [PSH, ACK] Seq=1700315 Ack=1 Win=65280 Len=65160 TSval=2972592743 TSecr=1160797611"
"0.948424091","56538","1765475","1","19  >  57254 [PSH, ACK] Seq=1765475 Ack=1 Win=65280 Len=56472 TSval=2972592743 TSecr=1160797611"
"0.949992429","8754","1821947","1","19  >  57254 [PSH, ACK] Seq=1821947 Ack=1 Win=65280 Len=8688 TSval=2972592745 TSecr=1160797613"
"0.950024240","65226","1830635","1","19  >  57254 [PSH, ACK] Seq=1830635 Ack=1 Win=65280 Len=65160 TSval=2972592745 TSecr=1160797613"
"0.950901063","36290","1895795","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=1895795 Ack=1 Win=65280 Len=36224 TSval=2972592746 TSecr=1160797614"
"0.951954311","17858","1932019","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=1932019 Ack=1 Win=65280 Len=17792 TSval=2972592747 TSecr=1160797615"
"1.136725708","11210","1949811","1","19  >  57254 [PSH, ACK] Seq=1949811 Ack=1 Win=65280 Len=11144 TSval=2972592932 TSecr=1160797800"
"1.136769993","65226","1960955","1","19  >  57254 [PSH, ACK] Seq=1960955 Ack=1 Win=65280 Len=65160 TSval=2972592932 TSecr=1160797800"
"1.136776706","65226","2026115","1","19  >  57254 [PSH, ACK] Seq=2026115 Ack=1 Win=65280 Len=65160 TSval=2972592932 TSecr=1160797800"
"1.137006895","1514","2091275","1","19  >  57254 [ACK] Seq=2091275 Ack=1 Win=65280 Len=1448 TSval=2972592932 TSecr=1160797800"
"1.138044874","63778","2092723","1","19  >  57254 [PSH, ACK] Seq=2092723 Ack=1 Win=65280 Len=63712 TSval=2972592933 TSecr=1160797801"
"1.138072608","5346","2156435","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=2156435 Ack=1 Win=65280 Len=5280 TSval=2972592933 TSecr=1160797801"
"1.139042066","32194","2161715","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=2161715 Ack=1 Win=65280 Len=32128 TSval=2972592934 TSecr=1160797802"
"1.349813407","66","2193842","1","[TCP Keep-Alive] 19  >  57254 [ACK] Seq=2193842 Ack=1 Win=65280 Len=0 TSval=2972593145 TSecr=1160797804"
"1.356172789","27818","2193843","1","19  >  57254 [PSH, ACK] Seq=2193843 Ack=1 Win=65280 Len=27752 TSval=2972593151 TSecr=1160798020"
"1.356198198","65226","2221595","1","19  >  57254 [PSH, ACK] Seq=2221595 Ack=1 Win=65280 Len=65160 TSval=2972593151 TSecr=1160798020"
"1.356201184","65226","2286755","1","19  >  57254 [PSH, ACK] Seq=2286755 Ack=1 Win=65280 Len=65160 TSval=2972593151 TSecr=1160798020"
"1.356338615","13098","2351915","1","19  >  57254 [PSH, ACK] Seq=2351915 Ack=1 Win=65280 Len=13032 TSval=2972593151 TSecr=1160798020"
"1.356629529","26826","2364947","1","19  >  57254 [PSH, ACK] Seq=2364947 Ack=1 Win=65280 Len=26760 TSval=2972593151 TSecr=1160798020"
"1.356650830","24682","2391707","1","19  >  57254 [PSH, ACK] Seq=2391707 Ack=1 Win=65280 Len=24616 TSval=2972593151 TSecr=1160798020"
"1.356652744","818","2416323","1","19  >  57254 [ACK] Seq=2416323 Ack=1 Win=65280 Len=752 TSval=2972593151 TSecr=1160798020"
"1.356658365","5858","2417075","1","19  >  57254 [PSH, ACK] Seq=2417075 Ack=1 Win=65280 Len=5792 TSval=2972593151 TSecr=1160798020"
"1.356967751","59434","2422867","1","19  >  57254 [PSH, ACK] Seq=2422867 Ack=1 Win=65280 Len=59368 TSval=2972593152 TSecr=1160798021[Packet size limited during capture]"
"1.357904254","30146","2482235","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=2482235 Ack=1 Win=65280 Len=30080 TSval=2972593153 TSecr=1160798021"
"1.565819227","66","2512314","1","[TCP Keep-Alive] 19  >  57254 [ACK] Seq=2512314 Ack=1 Win=65280 Len=0 TSval=2972593361 TSecr=1160798022"
"1.586684375","35146","2512315","1","19  >  57254 [PSH, ACK] Seq=2512315 Ack=1 Win=65280 Len=35080 TSval=2972593381 TSecr=1160798250"
"1.586724963","65226","2547395","1","19  >  57254 [PSH, ACK] Seq=2547395 Ack=1 Win=65280 Len=65160 TSval=2972593381 TSecr=1160798250"
"1.586729872","65226","2612555","1","19  >  57254 [PSH, ACK] Seq=2612555 Ack=1 Win=65280 Len=65160 TSval=2972593381 TSecr=1160798250"
"1.586744260","5858","2677715","1","19  >  57254 [PSH, ACK] Seq=2677715 Ack=1 Win=65280 Len=5792 TSval=2972593381 TSecr=1160798250"
"1.587383189","27922","2683507","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=2683507 Ack=1 Win=65280 Len=27856 TSval=2972593382 TSecr=1160798251"
"1.605812343","410","2711019","1","[TCP Window Full] [TCP Retransmission] 19  >  57254 [ACK] Seq=2711019 Ack=1 Win=65280 Len=344 TSval=2972593401 TSecr=1160798251"
"1.609394397","31578","2711363","1","19  >  57254 [PSH, ACK] Seq=2711363 Ack=1 Win=65280 Len=31512 TSval=2972593404 TSecr=1160798273"
"1.609434284","46402","2742875","1","19  >  57254 [PSH, ACK] Seq=2742875 Ack=1 Win=65280 Len=46336 TSval=2972593404 TSecr=1160798273"
"1.610681744","18890","2789211","1","19  >  57254 [PSH, ACK] Seq=2789211 Ack=1 Win=65280 Len=18824 TSval=2972593405 TSecr=1160798274"
"1.610701261","19514","2808035","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=2808035 Ack=1 Win=65280 Len=19448 TSval=2972593405 TSecr=1160798274"
"1.611813448","17858","2827483","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=2827483 Ack=1 Win=65280 Len=17792 TSval=2972593407 TSecr=1160798275"
"1.817795864","66","2845274","1","[TCP Keep-Alive] 19  >  57254 [ACK] Seq=2845274 Ack=1 Win=65280 Len=0 TSval=2972593613 TSecr=1160798277"
"1.856648084","27986","2845275","1","19  >  57254 [PSH, ACK] Seq=2845275 Ack=1 Win=65280 Len=27920 TSval=2972593651 TSecr=1160798520"
"1.856686999","65226","2873195","1","19  >  57254 [PSH, ACK] Seq=2873195 Ack=1 Win=65280 Len=65160 TSval=2972593651 TSecr=1160798520"
"1.856698221","21786","2938355","1","19  >  57254 [PSH, ACK] Seq=2938355 Ack=1 Win=65280 Len=21720 TSval=2972593651 TSecr=1160798520"
"1.858023323","43506","2960075","1","19  >  57254 [PSH, ACK] Seq=2960075 Ack=1 Win=65280 Len=43440 TSval=2972593653 TSecr=1160798522"
"1.858041638","13330","3003515","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=3003515 Ack=1 Win=65280 Len=13264 TSval=2972593653 TSecr=1160798522"
"1.859280461","26050","3016779","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=3016779 Ack=1 Win=65280 Len=25984 TSval=2972593654 TSecr=1160798523"
"2.065798414","66","3042762","1","[TCP Keep-Alive] 19  >  57254 [ACK] Seq=3042762 Ack=1 Win=65280 Len=0 TSval=2972593861 TSecr=1160798525"
"2.155266983","25978","3042763","1","19  >  57254 [PSH, ACK] Seq=3042763 Ack=1 Win=65280 Len=25912 TSval=2972593950 TSecr=1160798819"
"2.155303563","65226","3068675","1","19  >  57254 [PSH, ACK] Seq=3068675 Ack=1 Win=65280 Len=65160 TSval=2972593950 TSecr=1160798819"
"2.155307661","65226","3133835","1","19  >  57254 [PSH, ACK] Seq=3133835 Ack=1 Win=65280 Len=65160 TSval=2972593950 TSecr=1160798819"
"2.155315736","1514","3198995","1","19  >  57254 [ACK] Seq=3198995 Ack=1 Win=65280 Len=1448 TSval=2972593950 TSecr=1160798819"
"2.155784206","11786","3200443","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=3200443 Ack=1 Win=65280 Len=11720 TSval=2972593951 TSecr=1160798819"
"2.173828747","202","3212027","1","[TCP Window Full] [TCP Retransmission] 19  >  57254 [ACK] Seq=3212027 Ack=1 Win=65280 Len=136 TSval=2972593969 TSecr=1160798819"
"2.173947185","52058","3212163","1","19  >  57254 [PSH, ACK] Seq=3212163 Ack=1 Win=65280 Len=51992 TSval=2972593969 TSecr=1160798838"
"2.173965531","15994","3264155","1","19  >  57254 [PSH, ACK] Seq=3264155 Ack=1 Win=65280 Len=15928 TSval=2972593969 TSecr=1160798838"
"2.175210715","34242","3280083","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=3280083 Ack=1 Win=65280 Len=34176 TSval=2972593970 TSecr=1160798839"
"2.389857067","66","3314258","1","[TCP Keep-Alive] 19  >  57254 [ACK] Seq=3314258 Ack=1 Win=65280 Len=0 TSval=2972594185 TSecr=1160798845"
"2.435003178","15122","3314259","1","19  >  57254 [PSH, ACK] Seq=3314259 Ack=1 Win=65280 Len=15056 TSval=2972594230 TSecr=1160799099"
"2.435036342","65226","3329315","1","19  >  57254 [PSH, ACK] Seq=3329315 Ack=1 Win=65280 Len=65160 TSval=2972594230 TSecr=1160799099"
"2.435040490","65226","3394475","1","19  >  57254 [PSH, ACK] Seq=3394475 Ack=1 Win=65280 Len=65160 TSval=2972594230 TSecr=1160799099"
"2.435407863","7090","3459635","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=3459635 Ack=1 Win=65280 Len=7024 TSval=2972594230 TSecr=1160799099"
"2.435571371","57986","3466659","1","19  >  57254 [PSH, ACK] Seq=3466659 Ack=1 Win=65280 Len=57920 TSval=2972594230 TSecr=1160799099"
"2.435588745","282","3524579","1","19  >  57254 [PSH, ACK] Seq=3524579 Ack=1 Win=65280 Len=216 TSval=2972594230 TSecr=1160799099"
"2.435595849","5858","3524795","1","19  >  57254 [PSH, ACK] Seq=3524795 Ack=1 Win=65280 Len=5792 TSval=2972594230 TSecr=1160799099"
"2.436284246","30146","3530587","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=3530587 Ack=1 Win=65280 Len=30080 TSval=2972594231 TSecr=1160799100"
"2.641824835","66","3560666","1","[TCP Keep-Alive] 19  >  57254 [ACK] Seq=3560666 Ack=1 Win=65280 Len=0 TSval=2972594437 TSecr=1160799101"
"2.655133136","29354","3560667","1","19  >  57254 [PSH, ACK] Seq=3560667 Ack=1 Win=65280 Len=29288 TSval=2972594450 TSecr=1160799319"
"2.655164075","65226","3589955","1","19  >  57254 [PSH, ACK] Seq=3589955 Ack=1 Win=65280 Len=65160 TSval=2972594450 TSecr=1160799319"
"2.655171420","55090","3655115","1","19  >  57254 [PSH, ACK] Seq=3655115 Ack=1 Win=65280 Len=55024 TSval=2972594450 TSecr=1160799319"
"2.673817957","1514","3708691","1","[TCP Retransmission] 19  >  57254 [ACK] Seq=3708691 Ack=1 Win=65280 Len=1448 TSval=2972594469 TSecr=1160799319"
"2.676003749","10202","3710139","1","19  >  57254 [PSH, ACK] Seq=3710139 Ack=1 Win=65280 Len=10136 TSval=2972594471 TSecr=1160799340"
"2.676047984","60970","3720275","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=3720275 Ack=1 Win=65280 Len=60904 TSval=2972594471 TSecr=1160799340"
"2.680461772","4322","3781179","1","19  >  57254 [PSH, ACK] Seq=3781179 Ack=1 Win=65280 Len=4256 TSval=2972594475 TSecr=1160799344"
"2.680486249","29026","3785435","1","19  >  57254 [PSH, ACK] Seq=3785435 Ack=1 Win=65280 Len=28960 TSval=2972594475 TSecr=1160799344"
"2.876936356","36266","3814395","1","19  >  57254 [PSH, ACK] Seq=3814395 Ack=1 Win=65280 Len=36200 TSval=2972594672 TSecr=1160799541"
"2.876969119","65226","3850595","1","19  >  57254 [PSH, ACK] Seq=3850595 Ack=1 Win=65280 Len=65160 TSval=2972594672 TSecr=1160799541"
"2.876972135","65226","3915755","1","19  >  57254 [PSH, ACK] Seq=3915755 Ack=1 Win=65280 Len=65160 TSval=2972594672 TSecr=1160799541"
"2.877214291","5578","3980915","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=3980915 Ack=1 Win=65280 Len=5512 TSval=2972594672 TSecr=1160799541"
"2.877754031","59714","3986427","1","19  >  57254 [PSH, ACK] Seq=3986427 Ack=1 Win=65280 Len=59648 TSval=2972594673 TSecr=1160799542"
"2.877765353","37714","4046075","1","19  >  57254 [PSH, ACK] Seq=4046075 Ack=1 Win=65280 Len=37648 TSval=2972594673 TSecr=1160799542"
"2.878965725","27578","4083723","1","19  >  57254 [PSH, ACK] Seq=4083723 Ack=1 Win=65280 Len=27512 TSval=2972594674 TSecr=1160799543"
"2.878982557","19018","4111235","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=4111235 Ack=1 Win=65280 Len=18952 TSval=2972594674 TSecr=1160799543[Packet size limited during capture]"
"2.879734365","21954","4130187","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=4130187 Ack=1 Win=65280 Len=21888 TSval=2972594675 TSecr=1160799544"
"3.026758348","24386","4152075","1","19  >  57254 [PSH, ACK] Seq=4152075 Ack=1 Win=65280 Len=24320 TSval=2972594822 TSecr=1160799691"
"3.026788967","65226","4176395","1","19  >  57254 [PSH, ACK] Seq=4176395 Ack=1 Win=65280 Len=65160 TSval=2972594822 TSecr=1160799691"
"3.026795630","57986","4241555","1","19  >  57254 [PSH, ACK] Seq=4241555 Ack=1 Win=65280 Len=57920 TSval=2972594822 TSecr=1160799691"
"3.027413872","7306","4299475","1","19  >  57254 [PSH, ACK] Seq=4299475 Ack=1 Win=65280 Len=7240 TSval=2972594822 TSecr=1160799691"
"3.027443128","63866","4306715","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=4306715 Ack=1 Win=65280 Len=63800 TSval=2972594822 TSecr=1160799691"
"3.045796376","154","4370427","1","[TCP Window Full] [TCP Retransmission] 19  >  57254 [ACK] Seq=4370427 Ack=1 Win=65280 Len=88 TSval=2972594841 TSecr=1160799691"
"3.046891185","1426","4370515","1","19  >  57254 [ACK] Seq=4370515 Ack=1 Win=65280 Len=1360 TSval=2972594842 TSecr=1160799711"
"3.046918708","31922","4371875","1","19  >  57254 [PSH, ACK] Seq=4371875 Ack=1 Win=65280 Len=31856 TSval=2972594842 TSecr=1160799711"
"3.150546406","33370","4403731","1","19  >  57254 [PSH, ACK] Seq=4403731 Ack=1 Win=65280 Len=33304 TSval=2972594945 TSecr=1160799814"
"3.150581323","65226","4437035","1","19  >  57254 [PSH, ACK] Seq=4437035 Ack=1 Win=65280 Len=65160 TSval=2972594945 TSecr=1160799814"
"3.150595090","55330","4502195","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=4502195 Ack=1 Win=65280 Len=55264 TSval=2972594945 TSecr=1160799814"
"3.151301150","9962","4557459","1","19  >  57254 [PSH, ACK] Seq=4557459 Ack=1 Win=65280 Len=9896 TSval=2972594946 TSecr=1160799815"
"3.151330587","62330","4567355","1","19  >  57254 [PSH, ACK] Seq=4567355 Ack=1 Win=65280 Len=62264 TSval=2972594946 TSecr=1160799815"
"3.152369275","2962","4629619","1","19  >  57254 [PSH, ACK] Seq=4629619 Ack=1 Win=65280 Len=2896 TSval=2972594947 TSecr=1160799816"
"3.152398181","31346","4632515","1","[TCP Window Full] 19  >  57254 [PSH, ACK] Seq=4632515 Ack=1 Win=65280 Len=31280 TSval=2972594947 TSecr=1160799816"
"3.324242741","33946","4663795","1","19  >  57254 [PSH, ACK] Seq=4663795 Ack=1 Win=65280 Len=33880 TSval=2972595119 TSecr=1160799988"
"3.324278590","65226","4697675","1","19  >  57254 [PSH, ACK] Seq=4697675 Ack=1 Win=65280 Len=65160 TSval=2972595119 TSecr=1160799988"
"3.324282688","65226","4762835","1","19  >  57254 [PSH, ACK] Seq=4762835 Ack=1 Win=65280 Len=65160 TSval=2972595119 TSecr=1160799988[Packet size limited during capture]"
"3.324292036","7306","4827995","1","19  >  57254 [PSH, ACK] Seq=4827995 Ack=1 Win=65280 Len=7240 TSval=2972595119 TSecr=1160799988"
"3.325136903","57986","4835235","1","19  >  57254 [PSH, ACK] Seq=4835235 Ack=1 Win=65280 Len=57920 TSval=2972595120 TSecr=1160799989"
